     0/119     1.37G   0.08722   0.03819   0.04846    0.1739        57       416   0.00244    0.2404  0.001006 0.0001828   0.07392   0.03753   0.04713
     1/119     1.39G   0.08068   0.04063   0.04669     0.168        54       416   0.01313    0.1498  0.006885  0.001362   0.07544    0.0353    0.0468
     2/119     1.39G   0.07362   0.04121   0.04629    0.1611        52       416    0.1007    0.2748   0.05934   0.01787   0.06796   0.03337   0.04706
     3/119     1.39G   0.06471   0.03895   0.04605    0.1497        45       416   0.06955    0.3147   0.05586   0.01117   0.07254   0.03257   0.04672
     4/119     1.39G   0.05866   0.03732   0.04563    0.1416        51       416    0.1088    0.4297    0.1081   0.03732   0.05534   0.03245   0.04592
     5/119     1.39G   0.05415   0.03552   0.04465    0.1343        55       416    0.2278    0.4027    0.2259    0.1007   0.05095   0.03103   0.04445
     6/119     1.39G   0.04996   0.03497   0.04398    0.1289        48       416    0.2181    0.4731    0.2537    0.1361   0.04279    0.0284   0.04285
     7/119     1.39G   0.04671   0.03333   0.04212    0.1221        53       416    0.3679    0.4324    0.3261     0.151    0.0472   0.02882   0.03967
     8/119     1.39G   0.04535   0.03254      0.04    0.1179        51       416    0.4386     0.461    0.4203    0.2405   0.03781   0.02638   0.03572
     9/119     1.39G   0.04354   0.03177   0.03813    0.1134        69       416    0.3444    0.5935    0.4463    0.2534    0.0371   0.02586   0.03579
    10/119     1.39G   0.04249   0.03134    0.0368    0.1106        63       416     0.405    0.5404    0.4513    0.2569   0.03891   0.02672   0.03471
    11/119     1.39G   0.04131    0.0307   0.03527    0.1073        63       416    0.4602    0.5604    0.4975    0.2762   0.03646   0.02511   0.03223
    12/119     1.39G   0.04045   0.03054   0.03445    0.1054        65       416    0.5113    0.5832    0.5514    0.3378   0.03478   0.02388   0.03108
    13/119     1.39G   0.03985   0.02996   0.03348    0.1033        66       416    0.4233    0.6056    0.4627    0.3007   0.03474   0.02542   0.03611
    14/119     1.39G   0.03874   0.03008   0.03268    0.1015        53       416    0.4971     0.544    0.5244     0.325   0.03345   0.02518   0.03748
    15/119     1.39G    0.0389   0.02978   0.03201    0.1007        59       416    0.4204     0.642    0.5655     0.362   0.03267   0.02323   0.02922
    16/119     1.39G    0.0379   0.02934   0.03145   0.09868        58       416    0.5092    0.6278    0.5944    0.3655   0.03274   0.02314   0.02998
    17/119     1.39G   0.03739   0.02926   0.03062   0.09727        63       416    0.6097    0.5525    0.5847    0.3699    0.0354   0.02277   0.02677
    18/119     1.39G   0.03681   0.02834   0.03027   0.09542        57       416    0.6195    0.6009     0.618    0.4129   0.03221   0.02183   0.02595
    19/119     1.39G   0.03661   0.02796   0.02967   0.09424        60       416    0.5498     0.631    0.6348    0.4179   0.03075   0.02092   0.02682
    20/119     1.39G   0.03642   0.02872   0.02969   0.09483        49       416     0.523    0.6404    0.6039    0.3927   0.03143   0.02207   0.02786
    21/119     1.39G   0.03587   0.02792   0.02848   0.09227        51       416    0.6166    0.5582    0.5966    0.4064   0.03038   0.02065   0.03195
    22/119     1.39G   0.03541   0.02713    0.0287   0.09125        57       416    0.6141    0.6188     0.633    0.4156   0.03049   0.02077   0.02584
    23/119     1.39G   0.03563   0.02732    0.0277   0.09065        46       416    0.6349    0.6112     0.657     0.435   0.03048   0.02126    0.0239
    24/119     1.39G   0.03521   0.02748   0.02781   0.09049        52       416    0.5289    0.7103     0.668    0.4385   0.02936   0.02098   0.02479
    25/119     1.39G   0.03484   0.02707   0.02752   0.08943        50       416    0.6605    0.6145    0.6808    0.4448   0.03015   0.02093   0.02433
    26/119     1.39G   0.03453     0.027    0.0272   0.08872        56       416    0.5996    0.7254    0.7095    0.4663   0.02912   0.01985   0.02259
    27/119     1.39G   0.03367   0.02678   0.02671   0.08716        71       416    0.5686    0.7117    0.6965    0.4676   0.02912   0.02012   0.02462
    28/119     1.39G   0.03459   0.02689   0.02567   0.08715        47       416    0.6483    0.6485     0.688    0.4677   0.03035   0.02025   0.02158
